time,value
2025-05-22T13:48:09.621705957Z,604
2025-05-22T13:48:20.401113094Z,612
2025-05-22T13:48:31.028118423Z,636
2025-05-22T13:48:41.654832597Z,643
2025-05-22T13:48:52.433149573Z,606
2025-05-22T13:49:03.05803854Z,652
2025-05-22T13:49:13.687643329Z,588
2025-05-22T13:49:24.465155386Z,648
2025-05-22T13:49:35.092295938Z,646
2025-05-22T13:49:45.724882166Z,623
2025-05-22T13:49:56.501791865Z,614
2025-05-22T13:50:07.129722855Z,633
2025-05-22T13:50:17.75760795Z,615
2025-05-22T13:50:28.537902993Z,606
2025-05-22T13:50:39.167078879Z,643
2025-05-22T13:50:49.796698616Z,610
2025-05-22T13:51:00.574398204Z,646
2025-05-22T13:51:11.201526199Z,633
2025-05-22T13:51:21.829872826Z,612
2025-05-22T13:51:32.616340505Z,646
2025-05-22T13:51:43.23799456Z,606
2025-05-22T13:51:53.864838693Z,621
2025-05-22T13:52:04.645347586Z,631
2025-05-22T13:52:15.27108208Z,643
2025-05-22T13:52:25.897710522Z,636
2025-05-22T13:52:36.678308505Z,649
2025-05-22T13:52:47.304615423Z,670
2025-05-22T13:52:57.932445429Z,643
2025-05-22T13:53:08.709635107Z,638
2025-05-22T13:53:19.337922129Z,638
2025-05-22T13:53:29.966749648Z,594
2025-05-22T13:53:40.744471659Z,628
2025-05-22T13:53:51.375165216Z,635
2025-05-22T13:54:02.003198258Z,657
2025-05-22T13:54:12.783507122Z,669
2025-05-22T13:54:23.409007076Z,646
2025-05-22T13:54:34.035092892Z,647
2025-05-22T13:54:44.81734389Z,623
2025-05-22T13:54:55.445959799Z,633
2025-05-22T13:55:06.072224001Z,656
2025-05-22T13:55:16.850147627Z,636
2025-05-22T13:55:27.475855448Z,626
2025-05-22T13:55:38.103238206Z,609
2025-05-22T13:55:48.885351679Z,666
2025-05-22T13:55:59.512534359Z,608
2025-05-22T13:56:10.139746043Z,636
2025-05-22T13:56:20.91752913Z,630
2025-05-22T13:56:31.545228659Z,666
2025-05-22T13:56:42.171408294Z,653
2025-05-22T13:56:52.949157792Z,648
2025-05-22T13:57:03.57563674Z,620
2025-05-22T13:57:14.20154255Z,671
2025-05-22T13:57:24.977864773Z,664
2025-05-22T13:57:35.607158725Z,627
2025-05-22T13:57:46.233231374Z,654
2025-05-22T13:57:57.012548651Z,635
2025-05-22T13:58:07.640481557Z,655
